timestamp,task,status,execution_time
2024-03-24 00:27:29.545993,Extract,Success,35.44963526725769
2024-03-24 00:29:36.337906,Load,Success,122.50909352302553
2024-03-24 00:58:33.569970,Extract,Success,36.28110456466675
2024-03-24 01:00:57.171167,Load,Success,140.0383276939392
2024-03-24 03:04:04.278655,Extract,Success,35.830055952072144
2024-03-24 03:05:09.800580,Extract,Success,39.784916162490845
2024-03-24 03:06:31.118362,Extract,Success,34.06181287765503
2024-03-24 03:08:41.638735,Load,Success,126.94118189811708
2024-03-24 03:53:20.329262,Extract,Success,35.83195924758911
2024-03-24 03:56:44.369920,Load,Success,200.45030856132507
2024-03-24 04:19:16.059147,Extract,Success,32.87077713012695
2024-03-24 04:22:20.827330,Load,Success,181.33114075660703
2024-03-24 04:42:26.776774,Extract,Success,33.433329820632935
2024-03-24 04:45:34.423829,Load,Failed,0.0
2024-03-24 04:55:49.423868,Extract,Success,32.796858072280884
2024-03-24 04:59:15.981837,Load,Success,202.247784614563
2024-03-24 19:55:02.706839,Extract,Failed,0.0
2024-03-24 19:55:20.079667,Extract,Failed,0.0
2024-03-24 19:55:24.045360,Extract,Failed,0.0
2024-03-24 19:55:26.710863,Extract,Failed,0.0
2024-03-24 19:55:29.436132,Extract,Failed,0.0
2024-03-24 19:58:41.826790,Extract,Success,34.66484713554382
2024-03-24 20:02:35.292585,Load,Success,229.91152501106265
